PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT
1630549,Day'Ron Sharpe,1610612751,BKN,24.0,14,3,11,15.7,6.9,5.3,1.9,0.9,0.5,2.0,0.632,0.25,0.667
1628368,De'Aaron Fox,1610612759,SAS,27.0,7,5,2,33.6,23.1,3.4,6.6,1.4,0.3,3.4,0.517,0.386,0.778
1629631,De'Andre Hunter,1610612739,CLE,27.0,14,9,5,28.9,18.1,4.9,2.7,0.7,0.2,1.7,0.453,0.313,0.862
201599,DeAndre Jordan,1610612740,NOP,37.0,2,0,2,11.7,4.5,5.0,0.0,0.0,0.0,0.5,0.8,0.0,0.5
201942,DeMar DeRozan,1610612758,SAC,36.0,17,4,13,32.7,17.9,3.3,3.6,1.2,0.2,1.1,0.495,0.361,0.877
1629731,Dean Wade,1610612739,CLE,29.0,16,10,6,22.4,5.3,3.9,1.5,0.7,0.7,0.3,0.377,0.304,0.625
1629028,Deandre Ayton,1610612747,LAL,27.0,14,10,4,30.3,16.5,8.8,0.9,0.7,0.9,2.6,0.699,0.0,0.565
1630166,Deni Avdija,1610612757,POR,24.0,16,7,9,34.3,25.9,6.7,5.7,0.6,0.8,3.6,0.482,0.37,0.841
203471,Dennis Schröder,1610612758,SAC,32.0,17,4,13,29.5,12.8,3.6,5.8,0.9,0.2,2.0,0.402,0.338,0.769
1641726,Dereck Lively II,1610612742,DAL,21.0,7,3,4,16.5,4.3,5.3,1.9,0.6,1.6,1.4,0.611,0.0,0.8
1642852,Derik Queen,1610612740,NOP,20.0,17,2,15,24.2,12.6,6.6,3.2,1.1,0.8,2.5,0.488,0.125,0.779
1627884,Derrick Jones Jr.,1610612746,LAC,28.0,13,4,9,24.9,10.5,2.4,1.1,0.8,1.2,0.8,0.533,0.348,0.786
1628401,Derrick White,1610612738,BOS,31.0,16,8,8,32.9,15.3,3.8,5.3,1.7,1.2,1.4,0.348,0.297,0.81
1630217,Desmond Bane,1610612753,ORL,27.0,17,10,7,32.8,17.4,4.5,4.5,0.8,0.3,2.4,0.434,0.337,0.934
1626164,Devin Booker,1610612756,PHX,29.0,16,10,6,35.3,27.1,4.1,7.1,0.9,0.3,4.1,0.477,0.333,0.893
1642269,Devin Carter,1610612758,SAC,23.0,8,1,7,8.1,2.1,1.5,1.1,0.8,0.1,0.8,0.238,0.182,1.0
1630170,Devin Vassell,1610612759,SAS,25.0,15,11,4,33.2,13.7,3.6,2.6,1.1,0.3,1.1,0.407,0.359,0.8
1628415,Dillon Brooks,1610612756,PHX,29.0,10,7,3,30.2,21.0,3.3,2.0,2.1,0.2,2.2,0.46,0.342,0.872
1627734,Domantas Sabonis,1610612758,SAC,29.0,11,2,9,33.2,17.2,12.3,3.7,1.2,0.2,2.5,0.51,0.2,0.725
1631230,Dominick Barlow,1610612755,PHI,22.0,6,4,2,24.4,6.5,5.0,2.3,0.5,1.0,1.7,0.536,0.333,0.75
1642270,Donovan Clingan,1610612757,POR,21.0,16,7,9,25.6,10.2,10.0,1.6,0.8,1.6,0.7,0.496,0.213,0.885
1628378,Donovan Mitchell,1610612739,CLE,29.0,15,10,5,34.1,30.3,4.8,5.3,1.5,0.4,3.4,0.507,0.383,0.822
1628978,Donte DiVincenzo,1610612750,MIN,28.0,16,10,6,30.8,13.6,3.9,3.6,1.2,0.5,1.5,0.421,0.388,0.86
203926,Doug McDermott,1610612758,SAC,33.0,1,0,1,7.8,6.0,0.0,0.0,0.0,0.0,1.0,0.667,0.667,0.0
1642962,Drake Powell,1610612751,BKN,20.0,9,2,7,18.9,6.1,2.1,1.8,1.0,0.1,1.2,0.512,0.4,1.0
203110,Draymond Green,1610612744,GSW,35.0,16,9,7,28.7,8.1,5.8,5.8,0.9,0.8,3.2,0.388,0.357,0.579
1629234,Drew Eubanks,1610612758,SAC,28.0,17,4,13,16.2,6.6,2.9,0.3,0.6,0.9,1.0,0.644,0.5,0.515
1641809,Drew Peterson,1610612766,CHA,26.0,3,0,3,14.6,1.7,1.7,0.3,0.7,0.3,0.0,0.182,0.0,0.5
